,Title,Wage min,Wage max,Currency,Link,Source
153,Python backend-разработчик в команду Data Science,0,0,0,https://nn.hh.ru/vacancy/77050356?from=vacancy_search_list&query=Data,hh
154,Data analyst,2500,6000,USD,https://nn.hh.ru/vacancy/76735583?from=vacancy_search_list&query=Data,hh
155,Стажер Data Scientist,0,0,0,https://nn.hh.ru/vacancy/76705049?from=vacancy_search_list&query=Data,hh
156,Scala Data Engineer,0,0,0,https://nn.hh.ru/vacancy/77215006?from=vacancy_search_list&query=Data,hh
157,Data Analyst / Аналитик данных,0,150000,руб.,https://nn.hh.ru/vacancy/76784959?from=vacancy_search_list&query=Data,hh
158,Data engineer на продукт tNPS - измерение клиентского опыта (Big Data),0,0,0,https://nn.hh.ru/vacancy/76921603?from=vacancy_search_list&query=Data,hh
159,Master Data Expert,0,0,0,https://nn.hh.ru/vacancy/76876169?from=vacancy_search_list&query=Data,hh
160,ML engineer/Data engineer,0,0,0,https://nn.hh.ru/vacancy/72373055?from=vacancy_search_list&query=Data,hh
161,Business Analyst Lead (remote),2500,3500,USD,https://nn.hh.ru/vacancy/77198434?from=vacancy_search_list&query=Data,hh
162,Бизнес-аналитик,180000,240000,руб.,https://nn.hh.ru/vacancy/76950443?from=vacancy_search_list&query=Data,hh
163,Аналитик Power BI,0,0,0,https://nn.hh.ru/vacancy/77130018?from=vacancy_search_list&query=Data,hh
164,Python Engineer,3000,6500,USD,https://nn.hh.ru/vacancy/76983666?from=vacancy_search_list&query=Data,hh
165,Data Engineer / дата-инженер (senior/ middle),0,0,0,https://nn.hh.ru/vacancy/75718905?from=vacancy_search_list&query=Data,hh
166,Data Engineer (Scala),0,0,0,https://nn.hh.ru/vacancy/77114479?from=vacancy_search_list&query=Data,hh
167,Senior Data Scientist (Adtech),0,0,0,https://nn.hh.ru/vacancy/77034579?from=vacancy_search_list&query=Data,hh
168,Associate,250000,300000,руб.,https://nn.hh.ru/vacancy/76450599?from=vacancy_search_list&query=Data,hh
169,"Bioinformatics Developer, New Zealand",5000,7500,USD,https://nn.hh.ru/vacancy/76866591?from=vacancy_search_list&query=Data,hh
170,Продуктовый аналитик,0,0,0,https://nn.hh.ru/vacancy/76176885?from=vacancy_search_list&query=Data,hh
